policy,stage,model,usage_count,usage_share,policy_label,grid_id
A0 alpha=1,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=1,
A0 alpha=1,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=1,
A0 alpha=1,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=1,
A0 alpha=1,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=1,
A0 alpha=1,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=1,
A0 alpha=1,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=1,
A0 alpha=1,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=1,
A0 alpha=1,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,gpt-5,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=2,single,GLM-Z1-9B-0414,140.0,0.5833333333333334,A0 alpha=2,
A0 alpha=2,single,MiniCPM4.1-8B,44.0,0.18333333333333332,A0 alpha=2,
A0 alpha=2,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=2,
A0 alpha=2,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=2,
A0 alpha=2,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=2,
A0 alpha=2,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=2,
A0 alpha=2,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=2,
A0 alpha=2,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=2,
A0 alpha=2,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=2,
A0 alpha=2,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,gpt-5,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=5,single,GLM-Z1-9B-0414,140.0,0.5833333333333334,A0 alpha=5,
A0 alpha=5,single,MiniCPM4.1-8B,44.0,0.18333333333333332,A0 alpha=5,
A0 alpha=5,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=5,
A0 alpha=5,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=5,
A0 alpha=5,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=5,
A0 alpha=5,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=5,
A0 alpha=5,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=5,
A0 alpha=5,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=5,
A0 alpha=5,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=5,
A0 alpha=5,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,gpt-5,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=10,single,GLM-Z1-9B-0414,140.0,0.5833333333333334,A0 alpha=10,
A0 alpha=10,single,MiniCPM4.1-8B,44.0,0.18333333333333332,A0 alpha=10,
A0 alpha=10,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=10,
A0 alpha=10,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=10,
A0 alpha=10,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=10,
A0 alpha=10,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=10,
A0 alpha=10,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=10,
A0 alpha=10,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=10,
A0 alpha=10,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=10,
A0 alpha=10,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,gpt-5,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=10,
A1 K=1 B=0.000420126,single,MiniCPM4.1-8B,240.0,1.0,A1 K=1 B=0.000420126,
A1 K=1 B=0.000840251,single,MiniCPM4.1-8B,240.0,1.0,A1 K=1 B=0.000840251,
A1 K=1 B=0.00126038,single,MiniCPM4.1-8B,240.0,1.0,A1 K=1 B=0.00126038,
A1 K=2 B=0.000420126,single,MiniCPM4.1-8B,166.0,0.6916666666666667,A1 K=2 B=0.000420126,
A1 K=2 B=0.000420126,single,qwen3-235b-a22b-2507,74.0,0.30833333333333335,A1 K=2 B=0.000420126,
A1 K=2 B=0.000840251,single,MiniCPM4.1-8B,188.0,0.7833333333333333,A1 K=2 B=0.000840251,
A1 K=2 B=0.000840251,single,kimi-k2-0905,52.0,0.21666666666666667,A1 K=2 B=0.000840251,
A1 K=2 B=0.00126038,single,qwen3-235b-a22b-2507,130.0,0.5416666666666666,A1 K=2 B=0.00126038,
A1 K=2 B=0.00126038,single,NVIDIA-Nemotron-Nano-9B-v2,110.0,0.4583333333333333,A1 K=2 B=0.00126038,
A1 K=3 B=0.000420126,single,MiniCPM4.1-8B,158.0,0.6583333333333333,A1 K=3 B=0.000420126,
A1 K=3 B=0.000420126,single,qwen3-235b-a22b-2507,52.0,0.21666666666666667,A1 K=3 B=0.000420126,
A1 K=3 B=0.000420126,single,NVIDIA-Nemotron-Nano-9B-v2,30.0,0.125,A1 K=3 B=0.000420126,
A1 K=3 B=0.000840251,single,MiniCPM4.1-8B,150.0,0.625,A1 K=3 B=0.000840251,
A1 K=3 B=0.000840251,single,Qwen3-8B,48.0,0.2,A1 K=3 B=0.000840251,
A1 K=3 B=0.000840251,single,intern-s1,42.0,0.175,A1 K=3 B=0.000840251,
A1 K=3 B=0.00126038,single,qwen3-235b-a22b-2507,110.0,0.4583333333333333,A1 K=3 B=0.00126038,
A1 K=3 B=0.00126038,single,NVIDIA-Nemotron-Nano-9B-v2,88.0,0.36666666666666664,A1 K=3 B=0.00126038,
A1 K=3 B=0.00126038,single,deepseek-v3-0324,42.0,0.175,A1 K=3 B=0.00126038,
A1 K=5 B=0.000420126,single,MiniCPM4.1-8B,164.0,0.6833333333333333,A1 K=5 B=0.000420126,
A1 K=5 B=0.000420126,single,qwen3-235b-a22b-2507,31.0,0.12916666666666668,A1 K=5 B=0.000420126,
A1 K=5 B=0.000420126,single,Intern-S1-mini,18.0,0.075,A1 K=5 B=0.000420126,
A1 K=5 B=0.000420126,single,NVIDIA-Nemotron-Nano-9B-v2,15.0,0.0625,A1 K=5 B=0.000420126,
A1 K=5 B=0.000420126,single,Llama-3.1-8B-Instruct,12.0,0.05,A1 K=5 B=0.000420126,
A1 K=5 B=0.000840251,single,Llama-3.1-8B-Instruct,66.0,0.275,A1 K=5 B=0.000840251,
A1 K=5 B=0.000840251,single,qwen3-235b-a22b-2507,66.0,0.275,A1 K=5 B=0.000840251,
A1 K=5 B=0.000840251,single,NVIDIA-Nemotron-Nano-9B-v2,40.0,0.16666666666666666,A1 K=5 B=0.000840251,
A1 K=5 B=0.000840251,single,Intern-S1-mini,34.0,0.14166666666666666,A1 K=5 B=0.000840251,
A1 K=5 B=0.000840251,single,deepseek-v3-0324,34.0,0.14166666666666666,A1 K=5 B=0.000840251,
A1 K=5 B=0.00126038,single,deepseek-v3-0324,68.0,0.2833333333333333,A1 K=5 B=0.00126038,
A1 K=5 B=0.00126038,single,qwen3-235b-a22b-2507,59.0,0.24583333333333332,A1 K=5 B=0.00126038,
A1 K=5 B=0.00126038,single,NVIDIA-Nemotron-Nano-9B-v2,53.0,0.22083333333333333,A1 K=5 B=0.00126038,
A1 K=5 B=0.00126038,single,Intern-S1-mini,37.0,0.15416666666666667,A1 K=5 B=0.00126038,
A1 K=5 B=0.00126038,single,Llama-3.1-8B-Instruct,23.0,0.09583333333333334,A1 K=5 B=0.00126038,
A2 K=5 B=0.000840251 Emax=0.75,stage1,MiniCPM4.1-8B,120.0,0.5,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,stage1,qwen3-235b-a22b-2507,46.0,0.19166666666666668,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,stage1,NVIDIA-Nemotron-Nano-9B-v2,34.0,0.14166666666666666,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,stage1,Intern-S1-mini,28.0,0.11666666666666667,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,stage1,Llama-3.1-8B-Instruct,12.0,0.05,A2 K=5 B=0.000840251 Emax=0.75,
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,stage1,MiniCPM4.1-8B,164.0,0.6833333333333333,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,stage1,qwen3-235b-a22b-2507,33.0,0.1375,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,stage1,Intern-S1-mini,19.0,0.07916666666666666,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,stage1,NVIDIA-Nemotron-Nano-9B-v2,18.0,0.075,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,stage1,deepseek-r1-0528,6.0,0.025,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
