policy,domain,avg_quality,policy_label,grid_id
A1 K=3 B=0.000420126,GPQA,0.8,A1 K=3 B=0.000420126,
A1 K=3 B=0.000420126,LCB,0.9333333333333333,A1 K=3 B=0.000420126,
A1 K=3 B=0.000420126,MMLU-Pro,0.9,A1 K=3 B=0.000420126,
A1 K=3 B=0.000840251,AIME,0.8166666666666667,A1 K=3 B=0.000840251,
A1 K=3 B=0.000840251,GPQA,0.8333333333333334,A1 K=3 B=0.000840251,
A1 K=3 B=0.000840251,LCB,0.95,A1 K=3 B=0.000840251,
A1 K=3 B=0.000840251,MMLU-Pro,0.9333333333333333,A1 K=3 B=0.000840251,
A1 K=3 B=0.00126038,AIME,0.85,A1 K=3 B=0.00126038,
A1 K=3 B=0.00126038,GPQA,0.8166666666666667,A1 K=3 B=0.00126038,
A1 K=3 B=0.00126038,LCB,0.95,A1 K=3 B=0.00126038,
A1 K=3 B=0.00126038,MMLU-Pro,0.9333333333333333,A1 K=3 B=0.00126038,
A1 K=5 B=0.000420126,AIME,0.9,A1 K=5 B=0.000420126,
A1 K=5 B=0.000420126,GPQA,0.9333333333333333,A1 K=5 B=0.000420126,
A1 K=5 B=0.000420126,LCB,0.95,A1 K=5 B=0.000420126,
A1 K=5 B=0.000420126,MMLU-Pro,0.9333333333333333,A1 K=5 B=0.000420126,
A1 K=5 B=0.000840251,AIME,0.9,A1 K=5 B=0.000840251,
A1 K=5 B=0.000840251,GPQA,0.9166666666666666,A1 K=5 B=0.000840251,
A1 K=5 B=0.000840251,LCB,0.95,A1 K=5 B=0.000840251,
A1 K=5 B=0.000840251,MMLU-Pro,0.9666666666666667,A1 K=5 B=0.000840251,
A1 K=5 B=0.00126038,AIME,0.9,A1 K=5 B=0.00126038,
A1 K=5 B=0.00126038,GPQA,0.9166666666666666,A1 K=5 B=0.00126038,
A1 K=5 B=0.00126038,LCB,0.95,A1 K=5 B=0.00126038,
A1 K=5 B=0.00126038,MMLU-Pro,0.9666666666666667,A1 K=5 B=0.00126038,
A2 K=5 B=0.000840251 Emax=0.75,AIME,0.9,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,GPQA,0.9166666666666666,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,LCB,0.95,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,MMLU-Pro,0.9333333333333333,A2 K=5 B=0.000840251 Emax=0.75,
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,AIME,0.9,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,GPQA,0.9166666666666666,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,LCB,0.95,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,MMLU-Pro,0.95,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
