policy,scenario,avg_quality,avg_cost
A3 K=5 B=0.00126038 Emax=0.75,empirical,0.759375,2.237070833333333e-05
A3 K=5 B=0.00126038 Emax=0.75,balanced,0.759375,2.237070833333333e-05
A3 K=5 B=0.00126038 Emax=0.75,coding_heavy,0.784375,4.326188333333333e-05
A3 K=5 B=0.00126038 Emax=0.75,math_heavy,0.75625,1.0649333333333333e-05
A3 K=5 B=0.00126038 Emax=0.75,knowledge_heavy,0.7362500000000001,1.4051433333333334e-05
