policy,stage,model,usage_count,usage_share
A0 alpha=1,single,qwen3-235b-a22b-2507,6.0,0.025
A0 alpha=1,single,Llama-3.1-8B-Instruct,3.0,0.0125
A0 alpha=1,single,deepseek-v3.1-terminus,3.0,0.0125
A0 alpha=1,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125
A0 alpha=1,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333
A0 alpha=1,single,glm-4-9b-chat,2.0,0.008333333333333333
A0 alpha=1,single,gpt-5-chat,2.0,0.008333333333333333
A0 alpha=1,single,internlm3-8b-instruct,2.0,0.008333333333333333
A0 alpha=1,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667
A0 alpha=1,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667
A0 alpha=1,single,Intern-S1-mini,1.0,0.004166666666666667
A0 alpha=1,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667
A0 alpha=1,single,Qwen3-8B,1.0,0.004166666666666667
A0 alpha=1,single,deepseek-v3-0324,1.0,0.004166666666666667
A0 alpha=1,single,gemini-2.5-flash,1.0,0.004166666666666667
A0 alpha=1,single,glm-4.6,1.0,0.004166666666666667
A0 alpha=1,single,gpt-5,1.0,0.004166666666666667
A0 alpha=1,single,granite-3.3-8b-instruct,1.0,0.004166666666666667
A0 alpha=1,single,kimi-k2-0905,1.0,0.004166666666666667
A0 alpha=2,single,GLM-Z1-9B-0414,140.0,0.5833333333333334
A0 alpha=2,single,MiniCPM4.1-8B,44.0,0.18333333333333332
A0 alpha=2,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375
A0 alpha=2,single,OpenThinker3-7B,7.0,0.029166666666666667
A0 alpha=2,single,cogito-v1-preview-llama-8B,6.0,0.025
A0 alpha=2,single,qwen3-235b-a22b-2507,6.0,0.025
A0 alpha=2,single,Llama-3.1-8B-Instruct,3.0,0.0125
A0 alpha=2,single,deepseek-v3.1-terminus,3.0,0.0125
A0 alpha=2,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125
A0 alpha=2,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333
A0 alpha=2,single,glm-4-9b-chat,2.0,0.008333333333333333
A0 alpha=2,single,gpt-5-chat,2.0,0.008333333333333333
A0 alpha=2,single,internlm3-8b-instruct,2.0,0.008333333333333333
A0 alpha=2,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667
A0 alpha=2,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667
A0 alpha=2,single,Intern-S1-mini,1.0,0.004166666666666667
A0 alpha=2,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667
A0 alpha=2,single,Qwen3-8B,1.0,0.004166666666666667
A0 alpha=2,single,deepseek-v3-0324,1.0,0.004166666666666667
A0 alpha=2,single,gemini-2.5-flash,1.0,0.004166666666666667
A0 alpha=2,single,glm-4.6,1.0,0.004166666666666667
A0 alpha=2,single,gpt-5,1.0,0.004166666666666667
A0 alpha=2,single,granite-3.3-8b-instruct,1.0,0.004166666666666667
A0 alpha=2,single,kimi-k2-0905,1.0,0.004166666666666667
A0 alpha=5,single,GLM-Z1-9B-0414,140.0,0.5833333333333334
A0 alpha=5,single,MiniCPM4.1-8B,44.0,0.18333333333333332
A0 alpha=5,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375
A0 alpha=5,single,OpenThinker3-7B,7.0,0.029166666666666667
A0 alpha=5,single,cogito-v1-preview-llama-8B,6.0,0.025
A0 alpha=5,single,qwen3-235b-a22b-2507,6.0,0.025
A0 alpha=5,single,Llama-3.1-8B-Instruct,3.0,0.0125
A0 alpha=5,single,deepseek-v3.1-terminus,3.0,0.0125
A0 alpha=5,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125
A0 alpha=5,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333
A0 alpha=5,single,glm-4-9b-chat,2.0,0.008333333333333333
A0 alpha=5,single,gpt-5-chat,2.0,0.008333333333333333
A0 alpha=5,single,internlm3-8b-instruct,2.0,0.008333333333333333
A0 alpha=5,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667
A0 alpha=5,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667
A0 alpha=5,single,Intern-S1-mini,1.0,0.004166666666666667
A0 alpha=5,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667
A0 alpha=5,single,Qwen3-8B,1.0,0.004166666666666667
A0 alpha=5,single,deepseek-v3-0324,1.0,0.004166666666666667
A0 alpha=5,single,gemini-2.5-flash,1.0,0.004166666666666667
A0 alpha=5,single,glm-4.6,1.0,0.004166666666666667
A0 alpha=5,single,gpt-5,1.0,0.004166666666666667
A0 alpha=5,single,granite-3.3-8b-instruct,1.0,0.004166666666666667
A0 alpha=5,single,kimi-k2-0905,1.0,0.004166666666666667
A0 alpha=10,single,GLM-Z1-9B-0414,140.0,0.5833333333333334
A0 alpha=10,single,MiniCPM4.1-8B,44.0,0.18333333333333332
A0 alpha=10,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375
A0 alpha=10,single,OpenThinker3-7B,7.0,0.029166666666666667
A0 alpha=10,single,cogito-v1-preview-llama-8B,6.0,0.025
A0 alpha=10,single,qwen3-235b-a22b-2507,6.0,0.025
A0 alpha=10,single,Llama-3.1-8B-Instruct,3.0,0.0125
A0 alpha=10,single,deepseek-v3.1-terminus,3.0,0.0125
A0 alpha=10,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125
A0 alpha=10,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333
A0 alpha=10,single,glm-4-9b-chat,2.0,0.008333333333333333
A0 alpha=10,single,gpt-5-chat,2.0,0.008333333333333333
A0 alpha=10,single,internlm3-8b-instruct,2.0,0.008333333333333333
A0 alpha=10,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667
A0 alpha=10,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667
A0 alpha=10,single,Intern-S1-mini,1.0,0.004166666666666667
A0 alpha=10,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667
A0 alpha=10,single,Qwen3-8B,1.0,0.004166666666666667
A0 alpha=10,single,deepseek-v3-0324,1.0,0.004166666666666667
A0 alpha=10,single,gemini-2.5-flash,1.0,0.004166666666666667
A0 alpha=10,single,glm-4.6,1.0,0.004166666666666667
A0 alpha=10,single,gpt-5,1.0,0.004166666666666667
A0 alpha=10,single,granite-3.3-8b-instruct,1.0,0.004166666666666667
A0 alpha=10,single,kimi-k2-0905,1.0,0.004166666666666667
A1 K=2 B=0.000420126,single,Qwen2.5-Coder-7B-Instruct,135.0,0.5625
A1 K=2 B=0.000420126,single,NVIDIA-Nemotron-Nano-9B-v2,105.0,0.4375
A1 K=2 B=0.000840251,single,internlm3-8b-instruct,127.0,0.5291666666666667
A1 K=2 B=0.000840251,single,granite-3.3-8b-instruct,113.0,0.4708333333333333
A1 K=2 B=0.00126038,single,MiniCPM4.1-8B,202.0,0.8416666666666667
A1 K=2 B=0.00126038,single,Qwen3-8B,38.0,0.15833333333333333
A1 K=3 B=0.000420126,single,MiniCPM4.1-8B,237.0,0.9875
A1 K=3 B=0.000420126,single,deepseek-v3-0324,3.0,0.0125
A1 K=3 B=0.000840251,single,internlm3-8b-instruct,94.0,0.39166666666666666
A1 K=3 B=0.000840251,single,cogito-v1-preview-llama-8B,89.0,0.37083333333333335
A1 K=3 B=0.000840251,single,granite-3.3-8b-instruct,57.0,0.2375
A1 K=3 B=0.00126038,single,MiniCPM4.1-8B,100.0,0.4166666666666667
A1 K=3 B=0.00126038,single,Qwen3-8B,84.0,0.35
A1 K=3 B=0.00126038,single,intern-s1,56.0,0.23333333333333334
A1 K=5 B=0.000420126,single,MiniCPM4.1-8B,124.0,0.5166666666666667
A1 K=5 B=0.000420126,single,GLM-Z1-9B-0414,68.0,0.2833333333333333
A1 K=5 B=0.000420126,single,NVIDIA-Nemotron-Nano-9B-v2,21.0,0.0875
A1 K=5 B=0.000420126,single,Llama-3.1-8B-Instruct,20.0,0.08333333333333333
A1 K=5 B=0.000420126,single,kimi-k2-0905,7.0,0.029166666666666667
A1 K=5 B=0.000840251,single,MiniCPM4.1-8B,151.0,0.6291666666666667
A1 K=5 B=0.000840251,single,qwen3-235b-a22b-2507,40.0,0.16666666666666666
A1 K=5 B=0.000840251,single,NVIDIA-Nemotron-Nano-9B-v2,22.0,0.09166666666666666
A1 K=5 B=0.000840251,single,Intern-S1-mini,15.0,0.0625
A1 K=5 B=0.000840251,single,deepseek-v3-0324,12.0,0.05
A1 K=5 B=0.00126038,single,deepseek-v3-0324,68.0,0.2833333333333333
A1 K=5 B=0.00126038,single,qwen3-235b-a22b-2507,59.0,0.24583333333333332
