family,policy,status,grid_id,K,B,Emax,budget_name,rho,floor_multiplier,lambda_slack,beta,lambda_cvar,solver,solver_status,termination_condition,message,wall_time_sec,best_bound,objective_value,mip_gap,num_variables,num_binary_variables,num_constraints
A1,A1 K=1 B=0.000840251,optimal,,1,0.0008402510770833333,,B_mid,,,,,,appsi_highs,ok,optimal,,3.673235082998872,0.6166666666666667,0.6166666666666657,1.6203254953988797e-15,7893,7893,8102
A2,A2 K=2 B=0.000840251 Emax=1,feasible,,2,0.0008402510770833333,1.0,B_mid,,,,,,appsi_highs,aborted,maxTimeLimit,,20.38968829199439,0.23333333333333334,0.8760416666666667,0.7336504161712248,9573,9573,11463
A3,A3 K=2 B=0.000840251 Emax=1,feasible,K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75,2,0.0008402510770833333,1.0,B_mid,0.75,0.75,0.1,,,appsi_highs,aborted,maxTimeLimit,,20.79287979201763,-0.29500000000000004,0.8497721240845566,1.3471518912411935,9578,9573,11484
